long,lat,group,order,region,subregion
-72.49635315,40.89772797,37,9380,new york,long island
-72.45624542,40.90918732,37,9381,new york,long island
-72.4390564,40.93783569,37,9382,new york,long island
-72.4161377,40.94356537,37,9383,new york,long island
-72.39894867,40.96075439,37,9384,new york,long island
-72.39321899,40.9836731,37,9385,new york,long island
-72.37602997,41.00086212,37,9386,new york,long island
-72.34738159,41.00086212,37,9387,new york,long island
-72.33592224,41.02378082,37,9388,new york,long island
-72.31300354,41.00086212,37,9389,new york,long island
-72.28435516,41.00086212,37,9390,new york,long island
-72.26716614,41.01231766,37,9391,new york,long island
-72.24424744,41.02950668,37,9392,new york,long island
-72.21560669,41.01804733,37,9393,new york,long island
-72.19841003,41.02378082,37,9394,new york,long island
-72.18122101,41.04096603,37,9395,new york,long island
-72.16403961,41.04096603,37,9396,new york,long island
-72.14684296,41.01231766,37,9397,new york,long island
-72.10100555,41.00658798,37,9398,new york,long island
-72.04371643,41.01804733,37,9399,new york,long island
-72.00933838,41.04096603,37,9400,new york,long island
-71.98069,41.05815506,37,9401,new york,long island
-71.9291153,41.07534409,37,9402,new york,long island
-71.8890152,41.07534409,37,9403,new york,long island
-71.87755585,41.06961441,37,9404,new york,long island
-71.88328552,41.04669952,37,9405,new york,long island
-71.90047455,41.02950668,37,9406,new york,long island
-72.0265274,40.98939896,37,9407,new york,long island
-72.11820221,40.95502472,37,9408,new york,long island
-72.24424744,40.91491699,37,9409,new york,long island
-72.34738159,40.85762024,37,9410,new york,long island
-72.55364227,40.80605316,37,9411,new york,long island
-72.82293701,40.7086525,37,9412,new york,long island
-73.05211639,40.64562607,37,9413,new york,long island
-73.1667099,40.61697769,37,9414,new york,long island
-73.20681763,40.61697769,37,9415,new york,long island
-73.22400665,40.62270737,37,9416,new york,long island
-73.21827698,40.63989639,37,9417,new york,long island
-73.17243958,40.64562607,37,9418,new york,long island
-73.13806152,40.64562607,37,9419,new york,long island
-72.94898987,40.7086525,37,9420,new york,long island
-72.76564026,40.76594543,37,9421,new york,long island
-72.67396545,40.78886414,37,9422,new york,long island
-72.65677643,40.8003273,37,9423,new york,long island
-72.65677643,40.81178284,37,9424,new york,long island
-72.67969513,40.81751633,37,9425,new york,long island
-72.76564026,40.79459763,37,9426,new york,long island
-72.80574799,40.78886414,37,9427,new york,long island
-72.83438873,40.7774086,37,9428,new york,long island
-72.88595581,40.7544899,37,9429,new york,long island
-72.97763062,40.73730087,37,9430,new york,long island
-73.01773834,40.73730087,37,9431,new york,long island
-73.04638672,40.73730087,37,9432,new york,long island
-73.08649445,40.72010803,37,9433,new york,long island
-73.12088013,40.72010803,37,9434,new york,long island
-73.15525055,40.72584152,37,9435,new york,long island
-73.16098022,40.7086525,37,9436,new york,long island
-73.18389893,40.69719315,37,9437,new york,long island
-73.25265503,40.70292282,37,9438,new york,long island
-73.26984406,40.68000412,37,9439,new york,long island
-73.29849243,40.68000412,37,9440,new york,long island
-73.35005951,40.68000412,37,9441,new york,long island
-73.36724854,40.66281509,37,9442,new york,long island
-73.40162659,40.65135574,37,9443,new york,long island
-73.46464539,40.63989639,37,9444,new york,long island
-73.49902344,40.64562607,37,9445,new york,long island
-73.53913116,40.63416672,37,9446,new york,long island
-73.65372467,40.61124802,37,9447,new york,long island
-73.68810272,40.61124802,37,9448,new york,long island
-73.7167511,40.57686996,37,9449,new york,long island
-73.76831818,40.56541061,37,9450,new york,long island
-73.81415558,40.56541061,37,9451,new york,long island
-73.85426331,40.55395126,37,9452,new york,long island
-73.88290405,40.5482254,37,9453,new york,long island
-73.91155243,40.55395126,37,9454,new york,long island
-73.90010071,40.56541061,37,9455,new york,long island
-73.86571503,40.57686996,37,9456,new york,long island
-73.8256073,40.58832932,37,9457,new york,long island
-73.79122925,40.59406281,37,9458,new york,long island
-73.77977753,40.61124802,37,9459,new york,long island
-73.77977753,40.62270737,37,9460,new york,long island
-73.79696655,40.63989639,37,9461,new york,long island
-73.83133698,40.63416672,37,9462,new york,long island
-73.86571503,40.63416672,37,9463,new york,long island
-73.89437103,40.62270737,37,9464,new york,long island
-73.92301178,40.61124802,37,9465,new york,long island
-73.94593048,40.58259964,37,9466,new york,long island
-73.95738983,40.56541061,37,9467,new york,long island
-74.00322723,40.58259964,37,9468,new york,long island
-74.00322723,40.60551834,37,9469,new york,long island
-74.00895691,40.62270737,37,9470,new york,long island
-74.02041626,40.64562607,37,9471,new york,long island
-74.02615356,40.66281509,37,9472,new york,long island
-74.01468658,40.67427444,37,9473,new york,long island
-73.99176788,40.68000412,37,9474,new york,long island
-73.96884918,40.69719315,37,9475,new york,long island
-73.94593048,40.72010803,37,9476,new york,long island
-73.91155243,40.77167892,37,9477,new york,long island
-73.88864136,40.76594543,37,9478,new york,long island
-73.86571503,40.7544899,37,9479,new york,long island
-73.84853363,40.76021576,37,9480,new york,long island
-73.83133698,40.7774086,37,9481,new york,long island
-73.81415558,40.8003273,37,9482,new york,long island
-73.8084259,40.78313446,37,9483,new york,long island
-73.77404785,40.77167892,37,9484,new york,long island
-73.7625885,40.7774086,37,9485,new york,long island
-73.75685883,40.8003273,37,9486,new york,long island
-73.73394012,40.8003273,37,9487,new york,long island
-73.72248077,40.80605316,37,9488,new york,long island
-73.72248077,40.83470154,37,9489,new york,long island
-73.70529175,40.84616089,37,9490,new york,long island
-73.68237305,40.84043503,37,9491,new york,long island
-73.66518402,40.81751633,37,9492,new york,long island
-73.65945435,40.82324219,37,9493,new york,long island
-73.65945435,40.83470154,37,9494,new york,long island
-73.66518402,40.85189056,37,9495,new york,long island
-73.63080597,40.88053894,37,9496,new york,long island
-73.56204987,40.90918732,37,9497,new york,long island
-73.53340912,40.90345764,37,9498,new york,long island
-73.51048279,40.87480927,37,9499,new york,long island
-73.48184204,40.89199829,37,9500,new york,long island
-73.49329376,40.91491699,37,9501,new york,long island
-73.48184204,40.93210602,37,9502,new york,long island
-73.46464539,40.93783569,37,9503,new york,long island
-73.41880798,40.90918732,37,9504,new york,long island
-73.39016724,40.90918732,37,9505,new york,long island
-73.37297058,40.93210602,37,9506,new york,long island
-73.35005951,40.93210602,37,9507,new york,long island
-73.235466,40.90918732,37,9508,new york,long island
-73.20108795,40.91491699,37,9509,new york,long island
-73.17243958,40.92637253,37,9510,new york,long island
-73.1667099,40.96075439,37,9511,new york,long island
-73.13233185,40.97220993,37,9512,new york,long island
-73.09222412,40.95502472,37,9513,new york,long island
-72.96617126,40.95502472,37,9514,new york,long island
-72.81720734,40.96648026,37,9515,new york,long island
-72.70261383,40.97220993,37,9516,new york,long island
-72.63385773,40.98939896,37,9517,new york,long island
-72.5765686,41.01231766,37,9518,new york,long island
-72.50208282,41.05815506,37,9519,new york,long island
-72.42186737,41.10971832,37,9520,new york,long island
-72.34164429,41.14410019,37,9521,new york,long island
-72.30727386,41.15555573,37,9522,new york,long island
-72.26143646,41.14410019,37,9523,new york,long island
-72.26716614,41.13263702,37,9524,new york,long island
-72.29008484,41.12118149,37,9525,new york,long island
-72.34164429,41.12691116,37,9526,new york,long island
-72.35884094,41.09826279,37,9527,new york,long island
-72.39321899,41.08107376,37,9528,new york,long island
-72.42186737,41.06961441,37,9529,new york,long island
-72.4161377,41.02950668,37,9530,new york,long island
-72.45051575,41.02378082,37,9531,new york,long island
-72.47342682,40.99512863,37,9532,new york,long island
-72.50208282,40.9836731,37,9533,new york,long island
-72.5307312,40.9836731,37,9534,new york,long island
-72.5479126,40.97220993,37,9535,new york,long island
-72.56510162,40.94929123,37,9536,new york,long island
-72.58802032,40.93783569,37,9537,new york,long island
-72.63385773,40.93210602,37,9538,new york,long island
-72.63385773,40.91491699,37,9539,new york,long island
-72.6166687,40.90918732,37,9540,new york,long island
-72.5708313,40.90918732,37,9541,new york,long island
-72.54219055,40.89772797,37,9542,new york,long island
-72.53646088,40.87480927,37,9543,new york,long island
-72.55364227,40.85189056,37,9544,new york,long island
-72.50780487,40.85189056,37,9545,new york,long island
-72.46769714,40.86907959,37,9546,new york,long island
-72.49635315,40.89772797,37,9547,new york,long island
